文件名,完整路径,大小(字节),大小(可读),修改时间,是否目录,MD5哈希值,SHA256哈希值,扩展名,MIME类型
滕州卷烟厂数据元技术规范-V0.1.docx,svn\在建项目\滕州卷烟厂数据汇聚中心系统项目\05-实施阶段\标准规范\滕州卷烟厂数据元技术规范-V0.1.docx,342411,334.39 B,2025-01-03 09:02:11,false,a3f8c74ea99864a80298953d885557b3,dd3785bc0852aecc68be78351083ede663fb493204cb1b9dc83734809af1ee02,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
山东中烟工业有限责任公司滕州卷烟厂数据汇聚中心系统项目招标文件vv.docx,svn\滕烟数据汇聚中心项目\1-立项阶段\招投标文件\山东中烟工业有限责任公司滕州卷烟厂数据汇聚中心系统项目招标文件vv.docx,929775,907.98 B,2024-10-10 00:05:33,false,1ae7abe5a6a5012caa6c1967f005304d,167a9c2460494cb76637c12109a585cc2e216b65484c1e6ff8a880bb945be258,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
山东中烟工业有限责任公司滕州卷烟厂数据汇聚中心系统项目招标文件vv.pdf,svn\滕烟数据汇聚中心项目\1-立项阶段\招投标文件\山东中烟工业有限责任公司滕州卷烟厂数据汇聚中心系统项目招标文件vv.pdf,1419916,1.35 KB,2024-12-23 10:41:31,false,3bba117dfe58bf772cbbfc1aee0fafdd,cfcb1bad8fe96e49883206252a6073582dedd2bc067de8e18f7be2fbbb65656e,pdf,application/pdf
02_技术文件-滕州卷烟厂数据汇聚中心系统项目_北京远舢.docx,svn\滕烟数据汇聚中心项目\1-立项阶段\招投标文件\02_技术文件-滕州卷烟厂数据汇聚中心系统项目_北京远舢.docx,157757564,150.45 KB,2024-12-23 10:41:31,false,98845fcc21f442d9f17b9f08f89b618f,dcf52d86ab8ef477f43c0651e0cdeac7ade945e414ad974f0d9d61fa4eed02ed,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
滕州数据汇聚中心系统项目-前期准备.pptx,svn\滕烟数据汇聚中心项目\1-立项阶段\滕州数据汇聚中心系统项目-前期准备.pptx,11231103,10.71 KB,2024-12-26 15:05:29,false,63eee1dc6bfeaa2edce8f3c0413368dc,35a7e50891df7b86f8e3ded35f9d86012d9fd465cf36080dd687fd19dc889e8a,pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation
滕州数据汇聚中心系统项目立项汇报.pptx,svn\滕烟数据汇聚中心项目\1-立项阶段\立项汇报\滕州数据汇聚中心系统项目立项汇报.pptx,15743055,15.01 KB,2024-12-26 15:05:29,false,5e276d7751b95bd7fb81c3637c78c8ad,8f3e95e50f951ca4e7c865d09815dd20b27e400c3c27c2fb10227cade718ea7e,pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation
滕州数据汇聚中心项目立项汇报.xlsx,svn\滕烟数据汇聚中心项目\1-立项阶段\立项汇报\滕州数据汇聚中心项目立项汇报.xlsx,22550,22.02 B,2025-01-14 18:05:25,false,69c016bac463160dca997f148c1a0487,e017ebf9f5a98b325e6c3822ab8235fe5160706d0eca9c2271f685b2d55d6dde,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
项目计划导入表【CP2025003】2025011417320668.xlsx,svn\滕烟数据汇聚中心项目\1-立项阶段\立项汇报\项目计划导入表【CP2025003】2025011417320668.xlsx,11585,11.31 B,2025-01-15 18:09:16,false,366531557a09d868bb446c2ee7964f13,74bdb2580847721d845e80dc1d9fcac981c1085b07bd78efe70f4bf39a23fc97,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
滕州卷烟厂数据汇聚中心系统项目技术合同-扫描件.pdf,svn\滕烟数据汇聚中心项目\1-立项阶段\项目合同\滕州卷烟厂数据汇聚中心系统项目技术合同-扫描件.pdf,53186301,50.72 KB,2025-01-08 17:41:41,false,2dc11ad99aa365b7ebd364c195f3fc1f,8db3c4111f8dd2b7e1bf9982a8043fbdc58d6dd4d9978e82912376fea3cfcbcd,pdf,application/pdf
项目合同-终稿.doc,svn\滕烟数据汇聚中心项目\1-立项阶段\项目合同\项目合同-终稿.doc,1979053,1.89 KB,2024-12-19 11:21:57,false,8ca78efa01e9b31196c259b284140020,5c4156a85743df9c535e51c0ba4a2d64dc293e527335419e956753505887cde8,doc,application/msword
项目合同-终稿.pdf,svn\滕烟数据汇聚中心项目\1-立项阶段\项目合同\项目合同-终稿.pdf,2573139,2.45 KB,2024-12-19 11:23:11,false,492462a53d00aba9e3d3658359787fa0,0b353864bf07d31318bf1517682e16a24f2157a8d6bc799e5a7211548a0f553d,pdf,application/pdf
滕州数据汇聚中心系统项目-采购沟通事宜.doc,svn\滕烟数据汇聚中心项目\1-立项阶段\项目采购\滕州数据汇聚中心系统项目-采购沟通事宜.doc,33280,32.50 B,2025-01-15 15:31:17,false,81edb55db89a3dab3d554dbd5c4cd9dd,6fc3c9256af5c18cdd26bf6e09ca5ba6502f2c037464893b50a6ec5f62c6fcbb,doc,application/msword
2024年主机性能开动率（进步度）.xlsx,svn\滕烟数据汇聚中心项目\2-需求阶段\01-制丝车间\原始需求\制丝数据收集\2024年主机性能开动率（进步度）.xlsx,132395,129.29 B,2024-08-28 14:19:22,false,3574ea3552c9ffcacfa4dd6eefc40564,c05106dcf5298a20d1d773f11523ebc981c4224212bd5f789433bca23ecc7593,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
出丝率完成情况统计表5月份.xlsx0000666,svn\滕烟数据汇聚中心项目\2-需求阶段\01-制丝车间\原始需求\制丝数据收集\5月份生产各类报表\出丝率完成情况统计表5月份.xlsx0000666,19696,19.23 B,2024-06-04 05:51:54,false,25941fe969c29cc82fef4fe6ae21db4f,237d89cb63875a89eb80e5e081adee9f5da447069ce27e7f554db4c6d6503360,xlsx0000666,
制丝台时产量.xlsm,svn\滕烟数据汇聚中心项目\2-需求阶段\01-制丝车间\原始需求\制丝数据收集\5月份生产各类报表\制丝台时产量.xlsm,122031,119.17 B,2024-06-03 20:20:06,false,4e4b4379abb90bd5f4c5d1174a59f88d,cff8d2b8b4edf6fd720dda2a20ff148e54ec5d5dba01d07bc2737ec76d8f19e3,xlsm,application/vnd.ms-excel.sheet.macroEnabled.12
制梗台时产量.xlsm,svn\滕烟数据汇聚中心项目\2-需求阶段\01-制丝车间\原始需求\制丝数据收集\5月份生产各类报表\制梗台时产量.xlsm,108212,105.68 B,2024-06-03 20:20:04,false,620bd6b264b67243013dd5b667130b25,20707f4f7694c104cef5136a3b27f7988201dfc8d529a9cb7da31db8ee5d5fe0,xlsm,application/vnd.ms-excel.sheet.macroEnabled.12
制片台时产量.xlsm,svn\滕烟数据汇聚中心项目\2-需求阶段\01-制丝车间\原始需求\制丝数据收集\5月份生产各类报表\制片台时产量.xlsm,173736,169.66 B,2024-06-03 20:20:02,false,e91a62c1c132e3600f118beb937a91ac,f02db597bff6239b714ca3ac5a57713604b9b0523eedb48d2e6e40a3521b23db,xlsm,application/vnd.ms-excel.sheet.macroEnabled.12
工艺段产量统计表——5月份（5.31）.xlsm,svn\滕烟数据汇聚中心项目\2-需求阶段\01-制丝车间\原始需求\制丝数据收集\5月份生产各类报表\工艺段产量统计表——5月份（5.31）.xlsm,106544,104.05 B,2024-06-03 18:32:06,false,81bb62305d66cde32b2379e0c8cd4dfd,3c6f683a7edaecb4012980ad131c3280b5965e260140f262a14cd6b6e84b52af,xlsm,application/vnd.ms-excel.sheet.macroEnabled.12
6月工艺质量完成情况统计汇总表20240601.xls,svn\滕烟数据汇聚中心项目\2-需求阶段\01-制丝车间\原始需求\制丝数据收集\6月工艺质量完成情况统计汇总表20240601.xls,271872,265.50 B,2024-08-28 13:49:18,false,cd323dc41e88a8da0f32e1e59fc138f9,73f369139c1f1d790ef49482b190c5a9d34d2caf61d4276cfe80697548af7157,xls,application/vnd.ms-excel
制丝车间生产信息传递单.wps,svn\滕烟数据汇聚中心项目\2-需求阶段\01-制丝车间\原始需求\制丝数据收集\制丝车间生产信息传递单.wps,22528,22.00 B,2024-08-28 14:01:18,false,ce827e5bbbb9beb66791b0cd6562fce9,ebfd4a0aeecd99b0a7839f5b840e3c0d27daa5eaed6239c1e5bbb07151cdecef,wps,application/kswps
制梗丝过程质量判定记录（新20240607）.xlsx,svn\滕烟数据汇聚中心项目\2-需求阶段\01-制丝车间\原始需求\制丝数据收集\制梗丝过程质量判定记录（新20240607）.xlsx,1305777,1.25 KB,2024-08-28 14:01:14,false,60604f2595712ab71d1258973503f3e0,3b6f65287a9fe52e2e8c3aaf0e57d8a18cf0454d77801a2e6c2ffb00714c230c,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
副本8月制丝设备故障停机日报表--上报设备管理处.xlsx,svn\滕烟数据汇聚中心项目\2-需求阶段\01-制丝车间\原始需求\制丝数据收集\副本8月制丝设备故障停机日报表--上报设备管理处.xlsx,21976,21.46 B,2024-08-28 14:19:06,false,5fe54738641948b4a70829d8799223b4,3782e6877060b8881f2fc19fef59b32894fd43b6705d2c99ad1759f11119f95c,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
工艺管理考核表（乙工段5月7日）.docx,svn\滕烟数据汇聚中心项目\2-需求阶段\01-制丝车间\原始需求\制丝数据收集\工艺管理考核表（乙工段5月7日）.docx,14018,13.69 B,2024-08-28 14:01:20,false,2fcba902b30c724ebb0549fe352fc49a,1995ba9bf8657d267d6bcaa99cfbd153fb2f3e7fad508d73c2d6f5960471cfd1,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
故障停机情况统计表2024.xlsx,svn\滕烟数据汇聚中心项目\2-需求阶段\01-制丝车间\原始需求\制丝数据收集\故障停机情况统计表2024.xlsx,387577,378.49 B,2024-08-28 14:19:14,false,2117b8aef8436ab2307ba6d85663f944,e90c070fc0057e3c541a08cef3afd12d5e27aa7a027b5b6ebd33f17103c0fa69,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
数据收集.docx,svn\滕烟数据汇聚中心项目\2-需求阶段\01-制丝车间\原始需求\制丝数据收集\数据收集.docx,2582123,2.46 KB,2024-08-28 15:03:56,false,0464f625a9ca44f5b59af05a27d8c18e,3478a2c365167d399c38ce91fa60dba49ff1ad496c00b6c3f99b25580621c012,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
