文件名,完整路径,大小(字节),大小(可读),修改时间,是否目录,MD5哈希值,SHA256哈希值,扩展名,MIME类型
02_技术文件-滕州卷烟厂数据汇聚中心系统项目_北京远舢.docx,svn\滕烟数据汇聚中心项目\1-立项阶段\招投标文件\02_技术文件-滕州卷烟厂数据汇聚中心系统项目_北京远舢.docx,157757564,150.45 KB,2024-12-23 10:41:31,false,98845fcc21f442d9f17b9f08f89b618f,dcf52d86ab8ef477f43c0651e0cdeac7ade945e414ad974f0d9d61fa4eed02ed,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
滕州数据汇聚中心系统项目-前期准备.pptx,svn\滕烟数据汇聚中心项目\1-立项阶段\滕州数据汇聚中心系统项目-前期准备.pptx,11231103,10.71 KB,2024-12-26 15:05:29,false,63eee1dc6bfeaa2edce8f3c0413368dc,35a7e50891df7b86f8e3ded35f9d86012d9fd465cf36080dd687fd19dc889e8a,pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation
滕州数据汇聚中心系统项目立项汇报.pptx,svn\滕烟数据汇聚中心项目\1-立项阶段\立项汇报\滕州数据汇聚中心系统项目立项汇报.pptx,15743055,15.01 KB,2024-12-26 15:05:29,false,5e276d7751b95bd7fb81c3637c78c8ad,8f3e95e50f951ca4e7c865d09815dd20b27e400c3c27c2fb10227cade718ea7e,pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation
滕州卷烟厂数据汇聚中心系统项目技术合同-扫描件.pdf,svn\滕烟数据汇聚中心项目\1-立项阶段\项目合同\滕州卷烟厂数据汇聚中心系统项目技术合同-扫描件.pdf,53186301,50.72 KB,2025-01-08 17:41:41,false,2dc11ad99aa365b7ebd364c195f3fc1f,8db3c4111f8dd2b7e1bf9982a8043fbdc58d6dd4d9978e82912376fea3cfcbcd,pdf,application/pdf
上报ERP2024年8月.xlsx,svn\滕烟数据汇聚中心项目\2-需求阶段\02-卷包车间\原始需求\上报ERP表\上报ERP2024年8月.xlsx,11109711,10.60 KB,2024-08-02 08:27:06,false,245711e8e846fc9c6bea14d35cc7065e,7d198643db00468e3a1490d35a8b440630af33b9626560b9173bf96b63851004,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
材料库存表2024.8.23.xlsx,svn\滕烟数据汇聚中心项目\2-需求阶段\02-卷包车间\原始需求\月底盘存\材料库存表2024.8.23.xlsx,17294260,16.49 KB,2024-08-28 12:10:22,false,8109c53ad87fe2a4cda6b08745dbff4f,62cd60d151a03c1c9c3ab1d547f031e3e25dec8e1a7247b1105092e44d6e7a79,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
202501滕烟数据治理培训.pptx,svn\滕烟数据汇聚中心项目\6-实施阶段\培训材料\202501滕烟数据治理培训.pptx,19249723,18.36 KB,2025-01-08 13:31:59,false,141d7819f1a63b44a2816a1a6391c2ce,e0db4244f77582708b91026853afe22ae5c932e02cc63fe868f87f0ee69066e4,pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation
202501滕烟数据治理培训.pptx,svn\滕烟数据汇聚中心项目\6-实施阶段\培训材料\数据治理培训\202501滕烟数据治理培训.pptx,19249723,18.36 KB,2025-02-07 11:15:40,false,141d7819f1a63b44a2816a1a6391c2ce,e0db4244f77582708b91026853afe22ae5c932e02cc63fe868f87f0ee69066e4,pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation
从理性出发谈数智化转型实践与路径（滕烟）.pdf,svn\滕烟数据汇聚中心项目\6-实施阶段\培训材料\领导培训材料\从理性出发谈数智化转型实践与路径（滕烟）.pdf,15963904,15.22 KB,2025-01-03 15:49:06,false,5a366a387b8715f7f1dc11796323810d,7c6f6326905f5b1f9c3a2c4236a97a383bf1d97845c4921afd28ba844e7f7421,pdf,application/pdf
滕州卷烟厂数据治理宣贯培训.pptx,svn\在建项目\滕州卷烟厂数据汇聚中心系统项目\05-实施阶段\培训材料\领导培训材料\滕州卷烟厂数据治理宣贯培训.pptx,832002145,793.46 KB,2025-01-08 17:36:06,false,f85aa58efebc2e3ea2c6b935cb2b5f43,5e6c92dfea792e42b8f59e319894a339ba23e7687085adb6e7c898cd947b6298,pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation
